Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.3976E-10,-4.0594E-11,-4.0153E-07,0,0,0,1.97,0.0033639,9.9721E-14,7.3926E-14,0.0031664,7.0397E-13,0.0041845,0,0,0,0,0,0,package://dogurdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dogurdf/meshes/base_link.STL,,joint-1/三关节模组.STEP-1/8SE.034.2061线合A.STEP-1;joint-1/三关节模组.STEP-1/电机右盖（开模30）10速比.STEP-2;joint-1/三关节模组.STEP-1/电机左盖（30开模）.STEP-2;joint-1/三关节模组.STEP-1/装配体90(最终版）.STEP-1/装配体18速比.STEP-1/90法兰18速比（灵锶）.STEP-1;joint-1/三关节模组.STEP-1/装配体90(最终版）.STEP-1/压环.STEP-1;joint-1/三关节模组.STEP-1/右限位块.STEP-1;joint-1/三关节模组.STEP-1/装配体90(最终版）.STEP-1/XRB5013.STEP-1;joint-2/三关节模组.STEP-1/8SE.034.2061线合A.STEP-1;joint-2/三关节模组.STEP-1/电机右盖（开模30）10速比.STEP-2;joint-2/三关节模组.STEP-1/电机左盖（30开模）.STEP-2;joint-2/三关节模组.STEP-1/装配体90(最终版）.STEP-1/装配体18速比.STEP-1/90法兰18速比（灵锶）.STEP-1;joint-2/三关节模组.STEP-1/装配体90(最终版）.STEP-1/XRB5013.STEP-1;joint-2/三关节模组.STEP-1/装配体90(最终版）.STEP-1/压环.STEP-1;joint-2/三关节模组.STEP-1/右限位块.STEP-1;joint-4/三关节模组.STEP-1/装配体90(最终版）.STEP-1/压环.STEP-1;joint-4/三关节模组.STEP-1/装配体90(最终版）.STEP-1/XRB5013.STEP-1;joint-4/三关节模组.STEP-1/右限位块.STEP-1;joint-4/三关节模组.STEP-1/电机左盖（30开模）.STEP-2;joint-4/三关节模组.STEP-1/装配体90(最终版）.STEP-1/装配体18速比.STEP-1/90法兰18速比（灵锶）.STEP-1;joint-4/三关节模组.STEP-1/电机右盖（开模30）10速比.STEP-2;joint-4/三关节模组.STEP-1/8SE.034.2061线合A.STEP-1;joint-3/三关节模组.STEP-1/右限位块.STEP-1;joint-3/三关节模组.STEP-1/装配体90(最终版）.STEP-1/压环.STEP-1;joint-3/三关节模组.STEP-1/装配体90(最终版）.STEP-1/XRB5013.STEP-1;joint-3/三关节模组.STEP-1/装配体90(最终版）.STEP-1/装配体18速比.STEP-1/90法兰18速比（灵锶）.STEP-1;joint-3/三关节模组.STEP-1/电机左盖（30开模）.STEP-2;joint-3/三关节模组.STEP-1/电机右盖（开模30）10速比.STEP-2;joint-3/三关节模组.STEP-1/8SE.034.2061线合A.STEP-1;base-1,base_csys,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip_link,-0.00965589810794835,-0.00827404124492533,0.00195207626256536,0,0,0,0.297183995023675,0.000260411051286891,-1.39700545398482E-05,4.02212532505796E-09,0.000733472568657122,-2.0981416203913E-06,0.000506761320980143,0,0,0,0,0,0,package://dogurdf/meshes/FL_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dogurdf/meshes/FL_hip_link.STL,,joint-1/三关节模组.STEP-1/线夹.STEP-1;joint-1/三关节模组.STEP-1/电机左盖（30开模）.STEP-1;joint-1/三关节模组.STEP-1/电机右盖（开模30）10速比.STEP-1;joint-1/三关节模组.STEP-1/前摆后盖.STEP-1;joint-1/三关节模组.STEP-1/前摆电机法兰120.STEP-1,FL_hip_csys,FL_hip_joint,FL_hip_joint,revolute,0.3265,0.08,0,0,0,0,base_link,1,0,0,300,14,-3.14,3.14,,,,,,,,
FL_thigh_link,-0.00631688095134576,-0.0499255635102069,-0.0351010430050288,0,0,0,1.70741357089892,0.00881635716820846,-7.8031660385095E-06,-0.000624575465127208,0.0102894699121346,-3.84407353864911E-05,0.00190432652218525,0,0,0,0,0,0,package://dogurdf/meshes/FL_thigh_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://dogurdf/meshes/FL_thigh_link.STL,,joint-1/三关节模组.STEP-1/开模装配体120（21速比）.STEP-1/8SE.013.2024.电机后盖开模120膝关节.STEP-1;joint-1/三关节模组.STEP-1/前后电机安装支架右边.STEP-1;joint-1/三关节模组.STEP-1/开模装配体120（21速比）.STEP-1/8SE.013.2025.电机前盖开模120.STEP-1;joint-1/三关节模组.STEP-1/线码.STEP-1;joint-1/三关节模组.STEP-1/开模装配体120（21速比）.STEP-1/8SE.050.2027.侧展电机法兰2.0.STEP-1;thigh_2-2,FL_thigh_csys,FL_thigh_joint,FL_thigh_joint,revolute,0,0.1308,0,0,1.0197,0,FL_hip_link,0,1,0,300,14,-3.14,3.14,,,,,,,,
FL_calf_link,-0.061645,0.0071922,-0.21635,0,0,0,0.47973,0.0086128,0.00015398,-0.0027346,0.0098559,0.00036852,0.0014602,0,0,0,0,0,0,package://dogurdf/meshes/FL_calf_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dogurdf/meshes/FL_calf_link.STL,,calf_2-3,FL_calf_csys,FL_calf_joint,FL_calf_joint,revolute,0,0,-0.34,3.1416,-1.0861,-3.1416,FL_thigh_link,0,1,0,300,14,-3.14,3.14,,,,,,,,
FL_wheel_link,-1.56972520676257E-06,0.00208084771131467,9.86439635253245E-08,0,0,0,0.581037183184941,0.00246783459869321,-1.2243566895124E-09,-1.10058304932711E-08,0.00482400804653926,-7.9405246712479E-10,0.00246789059735698,0,0,0,0,0,0,package://dogurdf/meshes/FL_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dogurdf/meshes/FL_wheel_link.STL,,wheel_2-5,FL_wheel_csys,FL_wheel_joint,FL_wheel_joint,revolute,-0.10583,0.045,-0.32311,0,-0.21627,0,FL_calf_link,0,1,0,300,14,-100000000,100000000,,,,,,,,
FR_hip_link,-0.00965589786976583,0.00827404136545233,-0.00195207632292938,0,0,0,0.297183996282878,0.000260411051314588,1.39700544314517E-05,-4.02228713200328E-09,0.000733472570258241,-2.0981416317471E-06,0.000506761322576087,0,0,0,0,0,0,package://dogurdf/meshes/FR_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://dogurdf/meshes/FR_hip_link.STL,,joint-2/三关节模组.STEP-1/电机左盖（30开模）.STEP-1;joint-2/三关节模组.STEP-1/前摆后盖.STEP-1;joint-2/三关节模组.STEP-1/电机右盖（开模30）10速比.STEP-1;joint-2/三关节模组.STEP-1/前摆电机法兰120.STEP-1;joint-2/三关节模组.STEP-1/线夹.STEP-1,FR_hip_csys,FR_hip_joint,FR_hip_joint,revolute,0.3265,-0.08,0,0,0,0,base_link,1,0,0,300,14,-3.14,3.14,,,,,,,,
FR_thigh_link,-0.00575184316335054,0.0497359497305254,-0.0354219064162341,0,0,0,1.69996815149575,0.00881458184365539,7.91581646401389E-06,-0.000624639453970412,0.0102885144343923,3.83675483447996E-05,0.00190321565301397,0,0,0,0,0,0,package://dogurdf/meshes/FR_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dogurdf/meshes/FR_thigh_link.STL,,joint-2/三关节模组.STEP-1/前后电机安装支架右边.STEP-1;joint-2/三关节模组.STEP-1/开模装配体120（21速比）.STEP-1/8SE.013.2024.电机后盖开模120膝关节.STEP-1;joint-2/三关节模组.STEP-1/开模装配体120（21速比）.STEP-1/8SE.013.2025.电机前盖开模120.STEP-1;thigh_1-1;joint-2/三关节模组.STEP-1/开模装配体120（21速比）.STEP-1/8SE.050.2027.侧展电机法兰2.0.STEP-1,FR_thigh_csys,FR_thigh_joint,FR_thigh_joint,revolute,0,-0.1308,0,0,1.0197,0,FR_hip_link,0,1,0,300,14,-3.14,3.14,,,,,,,,
FR_calf_link,-0.0616454752995266,-0.00719220849829397,-0.216352800802631,0,0,0,0.479729252466065,0.00861284482929144,-0.000153987105669256,-0.00273465148062052,0.00985591861684721,-0.000368518862821149,0.00146022937269271,0,0,0,0,0,0,package://dogurdf/meshes/FR_calf_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dogurdf/meshes/FR_calf_link.STL,,calf-1,FR_calf_csys,FR_calf_joint,FR_calf_joint,revolute,0,0,-0.34,-3.1416,-1.0861,3.1416,FR_thigh_link,0,1,0,300,14,-3.14,3.14,,,,,,,,
FR_wheel_link,3.51521598884741E-07,-0.00208095192357272,7.8699894007217E-07,0,0,0,0.581021265719934,0.00246783637274413,-7.02926775147224E-11,-2.62740063571845E-08,0.0048239139968357,-5.59695771698466E-10,0.00246779369425121,0,0,0,0,0,0,package://dogurdf/meshes/FR_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dogurdf/meshes/FR_wheel_link.STL,,wheel-1,FR_wheel_csys,FR_wheel_joint,FR_wheel_joint,revolute,-0.10583,-0.045,-0.32311,3.1416,1.2625,3.1416,FR_calf_link,0,1,0,300,14,-100000000,100000000,,,,,,,,
RL_hip_link,0.0096559,-0.008274,-0.0019521,0,0,0,0.29718,0.00026041,1.397E-05,4.0217E-09,0.00073347,2.0981E-06,0.00050676,0,0,0,0,0,0,package://dogurdf/meshes/RL_hip_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dogurdf/meshes/RL_hip_link.STL,,joint-3/三关节模组.STEP-1/前摆电机法兰120.STEP-1;joint-3/三关节模组.STEP-1/电机左盖（30开模）.STEP-1;joint-3/三关节模组.STEP-1/电机右盖（开模30）10速比.STEP-1;joint-3/三关节模组.STEP-1/前摆后盖.STEP-1;joint-3/三关节模组.STEP-1/线夹.STEP-1,RL_hip_csys,RL_hip_joint,RL_hip_joint,revolute,-0.3265,0.08,0,0,0,0,base_link,1,0,0,300,14,-3.14,3.14,,,,,,,,
